id,first_name,last_name,email,modules,Section
1640,Mara,Tideswell,maratideswell@supinfo.com,3ASPC,Lyon21
18,Hebert,Garton,hebertgarton@supinfo.com,5DOOP,Distanciel21
660,Blakeley,Steanyng,blakeleysteanyng@supinfo.com,2GRAP,Distanciel21
1929,Di,Sketcher,disketcher@supinfo.com,1WORK,Lille21
1745,Anabelle,Prisley,anabelleprisley@supinfo.com,2DTTL,Tours21
348,Mellie,Loughton,mellieloughton@supinfo.com,1TEAM,Caen21
1586,Sutherland,Aggott,sutherlandaggott@supinfo.com,3CCNA,Lille21
150,Stanislaus,Honnicott,stanislaushonnicott@supinfo.com,5RBIG,Caen21
125,Elisabet,Gillimgham,elisabetgillimgham@supinfo.com,5ITIL,Caen21
186,Ajay,Yockley,ajayyockley@supinfo.com,2DTTL,Paris21
1005,Marget,Echelle,margetechelle@supinfo.com,3AGIL,Lille21
1609,Curtice,Sharnock,curticesharnock@supinfo.com,5CCNA,Tours21
1183,Jessamine,Ballister,jessamineballister@supinfo.com,2DVST,Tours21
578,Juan,Sollitt,juansollitt@supinfo.com,4BOSS,Lille21
472,Burton,Gregr,burtongregr@supinfo.com,2PHPD,Distanciel21
1801,Terrance,Hetterich,terrancehetterich@supinfo.com,4SECU,Lille21
47,Dwain,Denmead,dwaindenmead@supinfo.com,4GDPR,Caen21
850,Averell,Driffield,averelldriffield@supinfo.com,1O365,Caen21
164,Nico,Joy,nicojoy@supinfo.com,1TEAM,Caen21
1131,Guillaume,Sexstone,guillaumesexstone@supinfo.com,1PYTH,Lille21
1530,Herrick,Tapson,herricktapson@supinfo.com,4BOSS,Caen21
391,Gigi,Darington,gigidarington@supinfo.com,4SECU,Lyon21
751,Jud,O' Scallan,judo' scallan@supinfo.com,5BLOC,Paris21
736,Elmo,Bakhrushin,elmobakhrushin@supinfo.com,3CCNA,Distanciel21
662,Helsa,Hiskey,helsahiskey@supinfo.com,1WORK,Caen21
1457,Allayne,Bollen,allaynebollen@supinfo.com,4AZUR,Distanciel21
29,Nikoletta,Skin,nikolettaskin@supinfo.com,4DOCKR,Lille21
99,Ode,Franck,odefranck@supinfo.com,1WORK,Caen21
439,Duffy,Cosstick,duffycosstick@supinfo.com,5CCNA,Lille21
1643,Kakalina,Joesbury,kakalinajoesbury@supinfo.com,5RBIG,Lille21
491,Reese,Sherred,reesesherred@supinfo.com,4BOSS,Paris21
1199,Larisa,Rudsdell,larisarudsdell@supinfo.com,1TEAM,Lille21
1967,Mirabella,Exelby,mirabellaexelby@supinfo.com,1WORK,Caen21
1098,Tonia,Renachowski,toniarenachowski@supinfo.com,1WORK,Lyon21
314,Vanya,Moat,vanyamoat@supinfo.com,4CHGM,Tours21
1376,Merridie,Roydon,merridieroydon@supinfo.com,5RBIG,Lille21
1892,Esteban,Cary,estebancary@supinfo.com,1WDEV,Lyon21
717,Kalil,Holworth,kalilholworth@supinfo.com,3ASPC,Caen21
519,Harmon,Rablin,harmonrablin@supinfo.com,3LPIC,Tours21
1260,Ruddy,Matthensen,ruddymatthensen@supinfo.com,4SECU,Lyon21
1737,Avram,Breeze,avrambreeze@supinfo.com,2DVST,Lille21
192,Colette,Dauby,colettedauby@supinfo.com,4BOSS,Lyon21
1108,Base,Draycott,basedraycott@supinfo.com,2AWSP,Tours21
662,Lew,Avory,lewavory@supinfo.com,3LPIC,Distanciel21
1130,Ekaterina,Bloomfield,ekaterinabloomfield@supinfo.com,2DTTL,Distanciel21
303,Osborn,Cathery,osborncathery@supinfo.com,4DOCKR,Paris21
1496,Hilly,Wise,hillywise@supinfo.com,3AGIL,Tours21
1521,Marie,Laingmaid,marielaingmaid@supinfo.com,3ASPC,Distanciel21
1198,Gussy,Cobden,gussycobden@supinfo.com,2JAVA,Paris21
1444,Brion,Espy,brionespy@supinfo.com,4BINT,Distanciel21
1718,Neall,Scotchmoor,neallscotchmoor@supinfo.com,2DVST,Distanciel21
1557,Falkner,Millea,falknermillea@supinfo.com,1TEAM,Paris21
